,City,Approx. Latitude,Approx. Longitude
0,rikitea,-63.809669561042114,-134.04455345469881
1,castro,-51.21577124339458,-92.00988909182941
2,korla,37.39048588820479,89.80570687389843
3,belushya guba,75.11953052013627,48.105134894013844
4,aginskoye,50.908614195372536,114.5392596460353
5,portland,-57.9090985733261,129.2739413512491
6,butaritari,21.033268429841996,176.8740118619308
7,port alfred,-59.734664302151785,34.70491123718696
8,muroto,32.184983210302704,134.44660751300364
9,atuona,-8.069998791977284,-119.94679073331844
10,benguela,-13.493536487816357,12.092962943481467
11,albany,-42.59590216449656,113.22950384786571
12,carnarvon,-28.457446280979525,101.56070981633576
13,victoria,-0.28812375690941394,53.828236804862996
14,hermanus,-68.62315355133315,12.37480043853705
15,omboue,-6.8576195710354995,1.4883012942713378
16,kapaa,19.67101813248314,-169.83536507113584
17,georgetown,-12.72194432801389,-17.72234641838392
18,iqaluit,64.61977158172462,-73.08628142921219
19,mataura,-66.33639481991597,-155.45991528427322
20,vaini,-74.72631101496975,-170.99218416243372
21,new norfolk,-51.64229147629965,139.21033868237816
22,port blair,12.24114050521574,88.93622685019943
23,severnoye,56.20754069056906,78.36668847320834
24,avarua,-52.0359752185789,-163.80191658505657
25,sentyabrskiy,41.77414855105121,151.994124067293
26,poum,-19.3842350412488,162.99347161309646
27,hobart,-75.03956189631118,136.8181622109081
28,zhezkazgan,47.25497913238516,68.38730271978793
29,marcona,-19.735415150408443,-81.26347373339635
30,dubbo,-31.921589850969035,148.30721510664722
31,narsaq,79.54421416512113,-64.85274311971573
32,punta arenas,-62.80045696950736,-96.45638719909448
33,hilo,19.4050213785669,-135.32531064541092
34,ribeira grande,34.878247132434836,-39.62390558261268
35,arraial do cabo,-28.55927977231962,-33.75970378002978
36,qasigiannguit,68.04090923396379,-46.51987059883487
37,sur,20.891075940174375,62.13105250777042
38,attawapiskat,61.086339618682075,-87.95893171391347
39,taolanaro,-52.18785235679537,53.20149629864176
40,souillac,-62.531415898324695,78.2625443533721
41,mackenzie,55.91965802230561,-123.63639700834568
42,pavlovsk,53.55997031053198,82.93710066294233
43,aden,12.984904687973824,45.11476992286106
44,khoy,38.93026404179258,45.12170462375002
45,buriti dos lopes,-3.12125541614364,-41.649255402633
46,mocuba,-18.670919990281547,38.71791806172493
47,boa vista,2.466719723400388,-60.42066447076107
48,touros,0.49202592681250223,-33.45219002532019
49,ushuaia,-82.19183826272132,-67.37773678196143
50,tiksi,79.63233701042469,129.50275638087123
51,busselton,-64.54304340099148,98.2028408759067
52,kaitangata,-75.47959852201824,176.60482106948353
53,nikel,69.49812121377633,30.269000160143264
54,tuktoyaktuk,86.65136142572948,-129.7026521521868
55,nioro,14.69865898862551,-9.592811801231875
56,bredasdorp,-79.20489412065815,23.659748279157554
57,khatanga,72.35562375966586,99.79611105389063
58,qaanaaq,75.82483329888939,-88.00454366868523
59,pokhara,31.659012661573087,85.93833345166234
60,bur gabo,-1.3806214764363745,41.99990228077539
61,guerrero negro,22.30307766002835,-122.15680484629048
62,jimma,7.654424535146276,37.119516179936966
63,praia da vitoria,46.88562373004518,-24.051196598314874
64,carutapera,7.6353997056218645,-42.63281565121963
65,lebu,-34.13246340630336,-102.15854770857477
66,hithadhoo,-7.729177628009779,85.50168264650631
67,taltal,-25.277000411907892,-71.48524546579958
68,bethel,51.279602075981046,-167.23967851578482
69,homer,58.47359770998216,-150.4644921720641
70,tournon-sur-rhone,45.08882290182865,4.720263965918832
71,san quintin,28.474482610246312,-120.5631679854407
72,maningrida,-12.816587775052014,134.12412112337614
73,lakes entrance,-37.32224949574546,148.44815854090524
74,thompson,73.05901076023224,-93.63483663045982
75,nikolskoye,31.82016077590262,178.64861146959078
76,kargasok,60.00301506917049,81.80045099773622
77,mandera,4.653347752104153,40.563863642225954
78,labuhan,-15.84682893406152,98.00657770653254
79,maxixe,-22.58400468462868,33.75515814289369
80,verkhniye kigi,55.710646625195494,58.55733632371869
81,aripuana,-7.364623620505398,-59.663174012894714
82,belmonte,-17.243563024505633,-29.89743923318761
83,erzin,48.701017347069126,94.03350813611314
84,puerto ayora,6.023171635098805,-91.93907764220961
85,rey bouba,8.86853159629706,14.555033878104979
86,tauberbischofsheim,49.60449106084761,9.634756463749255
87,sao filipe,8.675950992081297,-35.09584119029148
88,yellowknife,60.07366111930685,-110.25717410023896
89,faya,19.603486366316105,16.381302764386817
90,safaga,25.357770639288276,34.76097175707787
91,saint-francois,18.817314569713915,-53.62732447012833
92,alakurtti,67.09609534411751,29.478022318186845
93,saint-philippe,-46.11336917294347,63.78989051261868
94,chuguyevka,43.92348933636313,133.7400693776175
95,bolungarvik,67.91921276071602,-27.702693341513708
96,mahebourg,-33.476629044362106,65.54885665695198
97,zhigansk,73.13804657628629,121.54665651418043
98,jijiga,7.87237542454551,43.305730441509496
99,wad rawah,15.132654217257453,32.970669189275526
100,necochea,-51.93675961471934,-53.1517892947349
101,viligili,0.1798430072756645,75.95963180037896
102,east london,-73.3843105063136,52.22648915282264
103,champerico,6.603601017465607,-94.14409218623909
104,colesberg,-30.445316545428582,24.705800118065582
105,klaksvik,62.08840968421893,-6.337764728298083
106,cape town,-70.71942640191146,-7.028716398949001
107,kiama,-36.372640841279136,154.54845600303338
108,port elizabeth,-75.5668535806175,32.992535380046576
109,oshakati,-17.81398771859486,15.648678757909636
110,maputo,-26.19112976099013,33.08006602995354
111,sakakah,28.62677266145353,41.776120541045515
112,richards bay,-34.74880865594501,39.51909901046636
113,barrow,75.86832695349383,-147.95088201149866
114,meulaboh,3.10119761591217,93.47237048869812
115,uppsala,60.06270106712989,17.608257259722166
116,demba,-4.987401170186573,22.62544523030968
117,lavrentiya,74.43143183737655,-171.20429202346887
118,laramie,41.81372046326379,-106.04202747752392
119,asau,-14.778847423951888,178.535259550178
120,teeli,50.783643803059675,90.03797683332556
121,fortuna,38.2497352438167,-140.85270814745252
122,bluff,-54.32666679481325,164.8224560096087
123,lolua,-6.494835004739215,171.26703406744008
124,fergus falls,46.56960296727007,-95.80993928325294
125,rio gallegos,-51.78575681559288,-69.53397892883336
126,kapuskasing,49.92772610750305,-81.91622556404508
127,waw,7.255462080678427,27.895670458310207
128,ancud,-39.53499926905844,-80.80194829097707
129,kadhan,24.42637417694739,68.87830979054317
130,vila do maio,14.88530641833944,-22.66429784030325
131,barentsburg,83.19429818898107,5.541992699777239
132,longyearbyen,84.60104746082743,25.808019986039028
133,batemans bay,-36.38238533512736,150.10545932354984
134,kozhevnikovo,56.6759226392424,83.04498728202088
135,los reyes,19.765263538098907,-98.27665400878203
136,katsuura,28.532380386768978,146.8830449103641
137,axim,-0.41437825669969186,-3.4942716109379717
138,wilmington island,31.728730306851062,-80.95712350406109
139,nanortalik,54.44104358860787,-39.89169687936564
140,esperance,-29.852774064413047,122.49009861933257
141,muros,45.5489146206929,-14.545340363925163
142,geraldton,-30.26824008318524,108.87072292588789
143,jamestown,-33.778871520271075,-3.2324514176652883
144,mergui,12.981273556145922,98.46548450302942
145,broome,-22.39708456973179,123.75624383753984
146,tasiilaq,89.39696982351015,-38.44914945816146
147,dikson,78.14686995527646,72.77433286453532
148,ketchikan,53.653749832535226,-133.61369237414888
149,bilibino,71.4439845312117,164.732881869395
150,rehoboth,-23.385362217969387,16.33470223673126
151,berikulskiy,55.32989742546863,88.01862734038531
152,kalmunai,8.426977740424036,87.54062381984431
153,lawton,34.45987142585696,-98.44672119126648
154,upernavik,82.4291310041749,-52.955781751902734
155,muhlhausen,51.08308884945555,10.4850908884886
156,dingle,49.93435613625823,-15.61110003623864
157,atherton,-17.2731006198088,145.65648037593814
158,andenes,71.62212401385509,15.81150102017557
159,bambanglipuro,-16.71970164118744,108.91751582652137
160,flinders,-33.0833841952534,132.59574512308325
161,coahuayana,4.312318262622483,-110.37335422774531
162,alice springs,-25.530899473407757,134.5748708133388
163,vostok,50.057307540213685,146.8613504157014
164,tecoanapa,14.756080982080064,-99.53033437719134
165,yanam,15.186366275571856,83.88420431391899
166,namibe,-16.52642698542897,13.058920248737934
167,san vicente,18.690776448295566,126.57516499985172
168,saint george,29.270971574738667,-58.49335357137076
169,culpeper,38.44125747430127,-78.2603152299172
170,port hardy,49.791720573595256,-129.01164228043643
171,aklavik,68.41839237692216,-135.03156138880655
172,njombe,-9.515251009133124,35.12368958276204
173,san isidro,5.842339544584206,128.8145192192341
174,tiruvalla,9.43636603057925,76.654843437213
175,norman wells,64.0749217107008,-128.19784319955528
176,cayenne,11.706641729936976,-42.87289692463145
177,red bluff,39.9259573614587,-122.41506034047994
178,achisay,45.3566842813411,68.72414624077535
179,yuzhno-yeniseyskiy,58.93746871264682,95.46578110931227
180,bathsheba,18.194372818999142,-48.04601095505248
181,las palmas,28.54153268855967,-15.058467906887444
182,kodiak,44.483512694333854,-155.79423591360103
183,havre-saint-pierre,53.86091543064043,-64.59659824230734
184,colac,-40.30996008011673,143.93095008579365
185,lompoc,29.940952056025722,-127.23692055581063
186,sao gabriel da cachoeira,-0.03898363845247843,-66.93309897835755
187,saskylakh,82.46771351145395,108.41746748377125
188,tumannyy,81.10792281409425,37.70920774789744
189,porto murtinho,-21.800499768542295,-58.1093691057209
190,bhan,26.55866512403422,67.75935716149303
191,yen bai,21.268163966738754,104.66157498261379
192,kasulu,-4.573530989662629,30.68402643475639
193,hermiston,44.92741297851214,-119.55500995579892
194,hualmay,-13.284706597160834,-80.72244273990052
195,ust-barguzin,53.59877368804186,108.40762302342222
196,markdorf,47.7229337966283,9.396539587317164
197,lata,-8.852593632163916,168.89468299933566
198,kem,65.02031647253321,34.95776536935293
199,paciran,-6.605330940277852,112.28418111886293
200,sao joao da barra,-30.22054597713622,-25.453249488676477
201,karema,-6.883881612177689,30.463497175152185
202,saleaula,-4.275376501275389,-172.1190501918828
203,rungata,3.2336711464861594,178.24487821908514
204,mayo,64.58933290211576,-138.82671249894122
205,san lazaro,-21.91973030127896,-58.977703265881246
206,gigmoto,17.93614993337691,130.87371777030427
207,borba,-4.805782960494639,-58.622899599032465
208,fairbanks,76.64586601323373,-144.92272245861983
209,vetluga,57.92606240279355,45.561482918258065
210,saint-leu,-24.28853964319292,52.33823919223508
211,nyandoma,61.75690563241312,40.16298732141345
212,bengkulu,-8.596230544649131,101.15687549896933
213,mys shmidta,68.50701373207113,-176.51225127570592
214,miyako,40.37258549186859,143.49694085239463
215,yenotayevka,46.87294397049419,47.265222449428876
216,samusu,-12.108227150679113,-164.08823178846205
217,ellsworth,44.611742320456955,-68.56192742083604
218,lima,-18.36523109172697,-87.90064102117952
219,cidreira,-55.693412793526306,-25.773069527849827
220,kieta,0.04267409293996138,160.92687834044523
221,abu samrah,20.336887542493216,49.3938639472598
222,krasnoselkup,64.55561423293437,83.27090231271484
223,ilulissat,87.94874267483584,-41.4689828960675
224,auki,-2.8780881986407536,164.86950685249394
225,sehwan,26.165079355579138,67.7553584019013
226,sorland,71.42284736614425,8.23733279499092
227,zonguldak,42.19315162328624,31.377372166902603
228,arua,2.910891687253738,31.206098516843724
229,sumbe,-11.246153066697545,13.4522970404023
230,mogadishu,-1.3105545682535507,48.55860162177473
231,joshimath,33.39136665092609,82.24095842838904
232,saint-georges,7.493392424279023,-44.48892643315975
233,lethem,3.310484641850408,-58.05318924383678
234,san cristobal,-5.745965477719764,-90.96472741319955
235,bowen,-16.84729175576574,150.34164591803858
236,scarborough,11.392274484709446,-60.86684714787596
237,grindavik,61.57701075106439,-21.8360144771963
238,komsomolskiy,72.43809308459771,174.27698382502456
239,luanda,-10.052134317470973,6.484834368019023
240,hasaki,23.853499188897786,159.6236090405746
241,batagay-alyta,67.5731151490933,129.10081433794983
242,thinadhoo,-0.021698729942798423,67.36769108547409
243,safford,33.249804221864764,-110.31032073790468
244,cockburn town,26.687673164669874,-69.11338340085648
245,whitehorse,63.142275091692625,-131.9579126866497
246,adrar,25.237341083898485,-0.5592331940501651
247,karaul,68.89953107149037,83.90567169833827
248,arman,59.854747663488155,148.3547378742685
249,vestby,59.58344628920008,10.705104930255061
250,abha,20.86852229265709,44.06093556724227
251,ascension,30.91406396039467,-108.18329231905398
252,ahipara,-36.502719232195425,165.00748693923106
253,soyo,-6.108413872332093,11.959262018378126
254,mar del plata,-47.44409323836369,-52.56853231494554
255,kloulklubed,5.135740108592174,134.59781680407383
256,kyabe,9.915378202273942,19.69826162793987
257,fayetteville,35.82055481732125,-94.00030034784481
258,union,-24.84086164445675,-56.843645380082506
259,henties bay,-21.75745786512219,6.719184420503694
260,pisco,-18.058255143438814,-83.13209183852035
261,amderma,79.89940487580549,64.50454784419097
262,provideniya,54.75877867556821,-172.599869834494
263,yanchukan,55.82203855268307,112.28914899025932
264,gilgit,35.60469715143984,74.96076490597031
265,pafos,34.52346980877877,31.8280783485514
266,bubaque,10.949488439992237,-15.80209285688963
267,camana,-19.64372710817743,-75.06778990098812
268,college,64.49074853233637,-148.42315549050196
269,san patricio,12.362465171596057,-111.23860562739088
270,kupang,-10.27706862724203,122.61444557813559
271,vaitupu,-0.8063631249143413,-178.87156825928622
272,mandalgovi,42.617259338705935,105.11782524227925
273,salalah,18.219522167145172,49.909641339190216
274,illoqqortoormiut,78.75703502512863,-29.865517656511173
275,nizhneyansk,74.45190352551637,136.38879703332674
276,cherskiy,74.74484092038236,156.66475668696182
277,luderitz,-27.23397535482018,3.241831795362998
278,mehamn,81.29874677430377,28.844648913690747
279,moron,47.32316775925699,101.02610280820807
280,kapra,17.607313690620543,78.45892757131764
281,torbay,36.576376440255174,-46.67924669228708
282,brigantine,36.08906985219612,-71.03996633930086
283,srednekolymsk,67.76238389264935,153.05160400603842
284,rocha,-44.13099024431574,-45.30525818801178
285,morros,-9.310530218712572,-46.94834034294345
286,lagoa,50.94352033650114,-27.659174440048503
287,toliary,-23.842094878444016,43.15215729300857
288,porto velho,-8.312843343319955,-64.49194444816426
289,aksarka,72.86305172497879,67.96403544940952
290,urla,38.40168081342614,26.630654671741013
291,ilek,51.31451384628812,53.62597460798199
292,chuy,-60.34773651014147,-23.62644716057966
293,inderborskiy,48.11290605552634,50.96869275758837
294,husavik,74.20875791988016,-13.928085501700025
295,zyryanka,67.46788375187643,148.90472340359537
